Navn;Vegreferanse;Fra;Til;Dato;Trafikkmengde
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-02T00:00+01:00;2023-02-03T00:00+01:00;02.02.2023;1782
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-02T00:00+01:00;2023-02-03T00:00+01:00;02.02.2023;1937
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-02T00:00+01:00;2023-02-03T00:00+01:00;02.02.2023;1782
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-02T00:00+01:00;2023-02-03T00:00+01:00;02.02.2023;1937
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-02T00:00+01:00;2023-02-03T00:00+01:00;02.02.2023;3719
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-03T00:00+01:00;2023-02-04T00:00+01:00;03.02.2023;1662
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-03T00:00+01:00;2023-02-04T00:00+01:00;03.02.2023;1826
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-03T00:00+01:00;2023-02-04T00:00+01:00;03.02.2023;1662
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-03T00:00+01:00;2023-02-04T00:00+01:00;03.02.2023;1826
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-03T00:00+01:00;2023-02-04T00:00+01:00;03.02.2023;3488
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-04T00:00+01:00;2023-02-05T00:00+01:00;04.02.2023;620
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-04T00:00+01:00;2023-02-05T00:00+01:00;04.02.2023;618
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-04T00:00+01:00;2023-02-05T00:00+01:00;04.02.2023;619
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-04T00:00+01:00;2023-02-05T00:00+01:00;04.02.2023;619
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-04T00:00+01:00;2023-02-05T00:00+01:00;04.02.2023;1238
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-05T00:00+01:00;2023-02-06T00:00+01:00;05.02.2023;541
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-05T00:00+01:00;2023-02-06T00:00+01:00;05.02.2023;549
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-05T00:00+01:00;2023-02-06T00:00+01:00;05.02.2023;541
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-05T00:00+01:00;2023-02-06T00:00+01:00;05.02.2023;549
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-05T00:00+01:00;2023-02-06T00:00+01:00;05.02.2023;1090
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-06T00:00+01:00;2023-02-07T00:00+01:00;06.02.2023;1720
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-06T00:00+01:00;2023-02-07T00:00+01:00;06.02.2023;1843
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-06T00:00+01:00;2023-02-07T00:00+01:00;06.02.2023;1721
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-06T00:00+01:00;2023-02-07T00:00+01:00;06.02.2023;1842
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-06T00:00+01:00;2023-02-07T00:00+01:00;06.02.2023;3563
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-07T00:00+01:00;2023-02-08T00:00+01:00;07.02.2023;1891
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-07T00:00+01:00;2023-02-08T00:00+01:00;07.02.2023;1994
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-07T00:00+01:00;2023-02-08T00:00+01:00;07.02.2023;1891
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-07T00:00+01:00;2023-02-08T00:00+01:00;07.02.2023;1994
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-07T00:00+01:00;2023-02-08T00:00+01:00;07.02.2023;3885
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-08T00:00+01:00;2023-02-09T00:00+01:00;08.02.2023;1806
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-08T00:00+01:00;2023-02-09T00:00+01:00;08.02.2023;1910
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-08T00:00+01:00;2023-02-09T00:00+01:00;08.02.2023;1806
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-08T00:00+01:00;2023-02-09T00:00+01:00;08.02.2023;1910
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-08T00:00+01:00;2023-02-09T00:00+01:00;08.02.2023;3716
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-09T00:00+01:00;2023-02-10T00:00+01:00;09.02.2023;1882
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-09T00:00+01:00;2023-02-10T00:00+01:00;09.02.2023;1991
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-09T00:00+01:00;2023-02-10T00:00+01:00;09.02.2023;1882
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-09T00:00+01:00;2023-02-10T00:00+01:00;09.02.2023;1991
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-09T00:00+01:00;2023-02-10T00:00+01:00;09.02.2023;3873
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-10T00:00+01:00;2023-02-11T00:00+01:00;10.02.2023;1794
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-10T00:00+01:00;2023-02-11T00:00+01:00;10.02.2023;1908
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-10T00:00+01:00;2023-02-11T00:00+01:00;10.02.2023;1791
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-10T00:00+01:00;2023-02-11T00:00+01:00;10.02.2023;1911
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-10T00:00+01:00;2023-02-11T00:00+01:00;10.02.2023;3702
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-11T00:00+01:00;2023-02-12T00:00+01:00;11.02.2023;613
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-11T00:00+01:00;2023-02-12T00:00+01:00;11.02.2023;631
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-11T00:00+01:00;2023-02-12T00:00+01:00;11.02.2023;609
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-11T00:00+01:00;2023-02-12T00:00+01:00;11.02.2023;635
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-11T00:00+01:00;2023-02-12T00:00+01:00;11.02.2023;1244
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-12T00:00+01:00;2023-02-13T00:00+01:00;12.02.2023;524
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-12T00:00+01:00;2023-02-13T00:00+01:00;12.02.2023;519
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-12T00:00+01:00;2023-02-13T00:00+01:00;12.02.2023;523
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-12T00:00+01:00;2023-02-13T00:00+01:00;12.02.2023;520
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-12T00:00+01:00;2023-02-13T00:00+01:00;12.02.2023;1043
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-13T00:00+01:00;2023-02-14T00:00+01:00;13.02.2023;1930
Hansine Hansens veg;KV12650 S2D1 m20;2023-02-13T00:00+01:00;2023-02-14T00:00+01:00;13.02.2023;2019
